userName,score,text_1,text_2
Pengguna Google,1,aplikasinya kurang stabil scanner camera juga kurang bagus suka ngelag ngelag sarannya agar ada pilihan upload terutama untuk daftar hadir dan tanda terima dan kejadian khusus karena dengan scanner yang tidak stabil seperti ini cukup sulit menangkap gambar yang bagus,aplikasinya stabil scanner camera bagus suka ngelag ngelag sarannya pilihan upload daftar hadir tanda kejadian khusus scanner stabil sulit menangkap gambar bagus
Pengguna Google,3,saya ikut ujibeban nasional terjadi masalah ketika dan upload berkas lainnya sudah persen dan sudah dibuat salinan untuk pps dan pakai kemudian muncul notif gagal unggah padahal tadinya berhasil diunggah dan sudah jadi ketika aplikasi memunculkan opsi unggah ulang kemudian diklik masa tiba muncul notif berkas sudah pernah diunggah sebelumnya dari server padahal diaplikasi menunjukkan progresnya masih terakhir semoga dvlopr mliht ini karena bisa sangat mengnggu kalau di hari,ujibeban nasional upload berkas persen salinan pps pakai muncul notif gagal unggah berhasil diunggah aplikasi memunculkan opsi unggah ulang diklik muncul notif berkas diunggah server diaplikasi progresnya semoga dvlopr mliht mengnggu
Pengguna Google,5,tolong untuk tambahkan fitur unduh data agar kalau tidak sengaja kehapus data bisa di unduh lagi jadi berkas yang sudah di kunci lalu di unggah kalau enggak sengaja kehapus data bisa dipulihkan kembali itu akan sangat membantu untuk operator yang ada masalah,tambahkan fitur unduh data sengaja kehapus data unduh berkas kunci unggah sengaja kehapus data dipulihkan membantu operator
Pengguna Google,1,apk yang versi ini kenapa malah susah sering macet pas mau masuk ke profil terjadi kesalahan saat inisiali aplikasi gagal mendapatkan kunci java lang exception anda saat ini sedang melakukan inisialisasi harap tunggu sejenak dan coba begitu mulu padahal yang versi mah lancar lancar saja ini kenapa yang baru malah susah kendalanya cuman enggak bisa masuk ke profil yang pengguna apk sirekap terbaru ini apakah sama punya kendala seperti ini,apk versi susah macet masuk profil kesalahan inisiali aplikasi gagal kunci java lang exception inisialisasi harap tunggu coba mulu versi lancar lancar susah kendalanya cuman masuk profil pengguna apk sirekap terbaru kendala
Pengguna Google,2,di versi lancar dapat wa dari pps disuruh uninstall yang itu dan install yang ini mampet di halaman masuk error failed tapi connect tapi api after sepertinya butuh perbaikan di bagian infrastruktur pendukung mudah mudahan bug nya segera teratasi,versi lancar wa pps disuruh uninstall install mampet halaman masuk error failed connect api butuh perbaikan infrastruktur pendukung mudah mudahan bug teratasi
Pengguna Google,2,kalo enggak bisa buat aplikasi yang optimal mending buat web saja anggaran untuk pembuatan aplikasi alihkan untuk anggaran server pertimbangankan juga untuk mengubah scan angka yang ditulis manual menjadi scan bullet lembar pleno menjadi bullet seperti kertas ujian kami sebagai pengguna tidak memerlukan ui yang bagus yang kami perlukan hanya ux yang nyaman,aplikasi optimal mending web anggaran pembuatan aplikasi alihkan anggaran server pertimbangankan mengubah scan angka ditulis manual scan bullet lembar pleno bullet kertas ujian pengguna ui bagus perlukan ux nyaman
Pengguna Google,4,memang dari segi proses lebih cepat dari sebelumnya tapi waktu ngepas foto kertas masih lemot banget sinkronisasi nya jadi sulit untuk ngepas batas garis sama kodenya harus ngulang beberapa kali,segi proses cepat ngepas foto kertas lemot sinkronisasi sulit ngepas batas garis kodenya ngulang
Pengguna Google,2,saya tidak bisa memilih bimtek hanya bisa memilih rekapitulasi jika saya pilih bimtek saya tidak bisa login ke dalam aplikasi hal tersebut sangat menghabat pekerjaan serta pemahaman dan pemgalaman saya dalam menggunakan yang ada di aplikasi,memilih bimtek memilih rekapitulasi pilih bimtek login aplikasi menghabat pekerjaan pemahaman pemgalaman aplikasi
Pengguna Google,1,aplikasinya begini amat ya masa sudah login tapi macet sampai situ doang profil enggak bisa diklik untuk pilih tahap lanjutan terus bagai mana dari pps juga slow respon padahal sudah dicoba dari sore ke malam coba lagi jelang pagi sampai uninstal diinstal lagi hp sudah direstart masih saja enggak bisa terus bagaimana,aplikasinya login macet situ doang profil diklik pilih tahap lanjutan pps slow respon dicoba sore malam coba jelang pagi uninstal diinstal hp direstart
Pengguna Google,5,aplikasi sudah lebih baik daripada sirekap pilpres saran saya untuk kamera lebih baik menggunakan setting mode kamera biasa saja daripada kamera mode malam karena di banyak device lebih bagus hasil potret menggunakan kamera biasa walaupun saat malam hari,aplikasi sirekap pilpres saran kamera setting mode kamera kamera mode malam device bagus hasil potret kamera malam
